#OTU ID	S1	S11	S13	S17	S19	S2	S23	S25	S29	S31	S35	S37	S39	S41	S45	S47	S5	S51	S55	S57	S7
Otu972	0	1	0	0	0	0	0	0	0	0	0	1	0	2	1	1	1	1	0	1	1
Otu712	0	1	0	0	0	2	0	0	1	0	0	0	0	0	2	0	1	0	0	1	0
Otu575	0	1	0	0	1	1	0	2	3	0	0	0	0	0	1	0	0	0	0	1	0
Otu319	0	1	0	1	11	3	1	3	3	4	0	1	3	10	2	4	0	1	2	3	2
Otu963	0	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
Otu365	0	1	1	0	0	3	0	2	4	1	0	2	0	3	10	2	4	2	2	2	3
Otu488	0	1	0	0	0	3	0	0	1	0	0	0	1	0	2	2	0	0	0	0	0
Otu648	0	1	5	1	0	0	0	1	1	1	0	1	0	0	0	0	1	0	0	1	0
Otu502	0	1	1	2	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0
Otu434	0	1	0	0	0	0	0	0	0	0	0	2	1	1	0	2	0	0	0	0	0
Otu266	0	2	5	36	15	5	7	10	4	6	2	3	2	7	0	2	3	2	4	0	0
Otu342	0	1	0	0	1	2	0	3	3	1	0	1	3	2	0	0	1	2	4	4	1
Otu482	0	1	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Otu926	0	1	9	6	3	1	3	2	1	0	2	3	1	1	2	1	0	0	1	3	0
Otu294	0	2	4	1	0	0	1	0	1	2	0	0	1	0	0	6	1	1	0	1	1
Otu812	0	1	0	1	0	0	0	1	1	0	1	0	0	0	0	0	0	1	0	0	0
Otu442	0	1	0	1	1	0	0	0	2	0	3	2	3	4	1	3	5	1	1	3	1
Otu461	0	1	1	0	1	0	0	0	0	0	4	0	0	0	5	1	1	0	0	0	0
Otu884	0	1	1	1	0	0	0	0	0	0	0	1	0	2	0	0	2	1	0	0	1
Otu504	0	1	0	2	1	0	0	3	0	1	1	3	0	2	0	1	1	1	0	1	2
Otu642	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu362	0	1	1	2	0	0	2	7	1	0	0	4	0	1	6	1	3	1	0	0	0
Otu219	0	1	6	3	5	4	1	3	19	0	2	3	0	2	2	0	3	2	5	18	1
Otu706	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Otu455	0	1	0	0	0	0	0	0	2	0	0	0	0	0	3	1	0	0	0	0	0
Otu970	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0
Otu429	0	1	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0
Otu421	0	1	4	0	1	0	1	3	0	0	0	0	0	0	2	0	4	1	0	1	0
Otu494	0	1	2	0	1	0	0	1	0	1	1	8	0	2	0	0	2	1	7	0	1
Otu568	0	0	5	3	7	0	0	1	0	0	0	0	1	2	0	0	0	0	0	0	2
Otu708	0	0	1	0	0	0	0	1	3	0	0	0	0	0	0	2	0	0	0	0	0
Otu349	0	0	2	20	8	1	3	1	1	2	1	2	2	0	1	2	2	0	3	1	3
