"","Code_01","Location","Temp_mu","MTE_temp_mu","MTE_temp_resp","MTE_temp_DD","k_day_tsl","k_dd_tsl","k_dd_m_tsl","k_mte_dd_m_tsl","k_day_ml","k_dd_ml","k_dd_m_ml","k_mte_dd_m_ml"
"1","BUT","D",10.1428571428571,40.9629787337164,41.1026787183673,27.9525937192741,0.0498596651835777,0.00491574163781752,0.00491574163781752,0.0249721124121936,0.00150872251477374,0.00014874729018896,0.00014874729018896,0.000755640618504324
"2","BUT","U1",9.42857142857143,41.0665225742,41.2458478143118,28.6425256881566,0.0297164321061071,0.0029297890808838,0.00315174279913257,0.0145249079642975,-0.0034743032041463,-0.000342536935620058,-0.000368486703470062,-0.00169818281347167
"3","COL","D",8,41.2751886272688,41.608172400705,30.1298696158812,0.0363140958973926,0.00453926198717408,0.00453926198717408,0.0168735327781015,0.00921443031128425,0.00115180378891053,0.00115180378891053,0.00428153277802383
"4","COL","U1",8,41.2751886272688,41.6918850418791,30.1298696158812,0.0187578004821335,0.00234472506026669,0.00234472506026669,0.008715909165815,0.00700985489797554,0.000876231862246942,0.000876231862246942,0.00325716539177886
"5","DUR","D",10.0714285714286,40.9733096153421,41.2019147259245,28.0200876072839,0.05077701067153,0.00522704521618691,0.00504168900284695,0.02537030431042,0.00850302646907901,0.000875311548287545,0.000844272131681603,0.00424846532371871
"6","DUR","U1",9.71428571428571,41.0250422857485,41.2693171256326,28.3625058842885,0.0501596911060094,0.00516349761385391,0.00516349761385391,0.0247592958939901,0.00461267133150123,0.000474833813536892,0.000474833813536892,0.00227685800769777
"7","HER","D",9.42857142857143,41.0665225742,41.0445275795162,28.6425256881566,0.0679489901262946,0.00720671107400094,0.00720671107400094,0.0332123595567368,0.000971866960199202,0.000103076798809006,0.000103076798809006,0.000475032739463156
"8","HER","U1",8.78571428571429,41.1601606130559,41.5262812043537,29.2932456962177,0.020234984070548,0.00214613467414903,0.00230316891859896,0.00967082241160631,-0.00582917881182772,-0.000618246237618092,-0.000663483767199903,-0.00278591536806471
"9","HOC","D",8.78571428571429,41.1601606130559,41.2458478143118,29.2932456962177,0.0365968053862346,0.00400277558911941,0.00416549004396166,0.0174905601352819,-0.00215015068435888,-0.000235172731101753,-0.00024473259821971,-0.00102761264126191
"10","HOC","U1",9.14285714285714,41.1080868287221,41.3487236150245,28.9281298331213,0.0433493299130481,0.00474133295923964,0.00474133295923964,0.0209792552191816,0.00369383624059109,0.00040401333881465,0.00040401333881465,0.00178766161748436
"11","HOR","D",10.5,40.9114023710793,41.2019147259245,27.6199435500574,0.0408372083732545,0.00388925794030995,0.00388925794030995,0.020699568635591,-0.00259585351766917,-0.000247224144539921,-0.000247224144539921,-0.00131578651424481
"12","HOR","U1",9.64285714285714,41.0354044999603,41.2751886272688,28.4319962821429,0.0663932567224595,0.00632316730690091,0.00688522662306987,0.0326922381703539,-0.0370536234395748,-0.00352891651805474,-0.00384259798632627,-0.0182453149967473
"13","KER","D",10.6428571428571,40.8908081739178,41.1507775977185,27.4890898556357,0.0782590914329232,0.00735320322188541,0.00735320322188541,0.0398568044927942,0.0132262012223737,0.00124273031619619,0.00124273031619619,0.00673601119883093
"14","KER","U1",9.64285714285714,41.0354044999603,41.2737205952363,28.4319962821429,0.0991238211202658,0.00931364762203839,0.010279507375435,0.0488088659660984,0.0246283081457938,0.00231406922175244,0.00255404677067491,0.0121270525860918
"15","MES","D",4.26315789473684,41.8311783428813,41.7654104104971,32.7672434916183,0.0157998199386815,0.00370613060290061,0.00370613060290061,0.00916148405683676,0.0015044631280992,0.000352898758443021,0.000352898758443021,0.000872358989891737
"16","MES","U1",4.15789473684211,41.8470570178646,41.8226088678294,32.9533417082398,0.0101357749059398,0.00237752744707231,0.00243771801535262,0.00584401196448929,0.000680713803798366,0.000159673608298382,0.000163715978128721,0.000392481053565958
"17","NIE","D",9.14285714285714,41.1080868287221,41.1931393367528,28.9281298331213,0.0396387790462053,0.0043354914581787,0.0043354914581787,0.0191835044245235,-0.00173860867376083,-0.00019016032369259,-0.00019016032369259,-0.000841413585083638
"18","NIE","U1",9.14285714285714,41.1080868287221,41.259046016343,28.9281298331213,0.0197173069476565,0.00215658044739993,0.00215658044739993,0.00954234853271213,-0.000752544875582412,-8.23095957668264e-05,-8.23095957668264e-05,-0.000364200116596925
"19","ROM","D",7.92857142857143,41.2856776081403,41.9997078630352,30.2083021802854,0.0384809352874334,0.00485345129751413,0.00485345129751413,0.0178339415041888,0.0103452521583141,0.00130480657852611,0.00130480657852611,0.00479449422056296
"20","ROM","U1",7.5,41.3487236150245,42.0118719953538,30.6876088392348,0.0246048822903213,0.00310331848706755,0.00328065097204284,0.0112249981374922,0.00593887252416743,0.000749046985030126,0.00079184966988899,0.00270937418988612
"21","ROT","D",6.85714285714286,41.4436544873327,41.684589732589,31.4357829677817,0.0293851087660048,0.00370622993445106,0.00428532836170904,0.0130867274133334,-0.00518254270815583,-0.000653654035262897,-0.000755787478272725,-0.00230805760392681
"22","ROT","U1",6.42857142857143,41.5071842711716,41.7301322949118,31.9551680643168,0.0202577363071518,0.00255502980450564,0.00315120342555695,0.00887519376300266,-0.00367380551625298,-0.000463362857905782,-0.000571480858083798,-0.00160954488250605
"23","SEV","D",7.57142857142857,41.3382025790165,41.7050380714494,30.6066709285418,0.0203717459836168,0.00269060796010033,0.00269060796010033,0.00931837521423056,0.00843280296021886,0.00111376642870815,0.00111376642870815,0.00385730423667115
"24","SEV","U1",8.21428571428571,41.2437536380881,41.6734906934371,29.8969967346558,0.0188391965670798,0.00248819577301054,0.00229346740816624,0.00882191459831106,0.00768480837471208,0.00101497469099971,0.000935541889095383,0.00359859949147524
